uid expr treatment rep update lineage
final_comps_comp50_52 final_comps comp50 52 2800 0.485605
final_comps_comp50_52 final_comps comp50 52 2900 0.486782
final_comps_comp50_52 final_comps comp50 52 3000 0.486393
final_comps_comp50_52 final_comps comp50 52 3100 0.491708
final_comps_comp50_52 final_comps comp50 52 3200 0.486651
final_comps_comp50_52 final_comps comp50 52 3300 0.500574
final_comps_comp50_52 final_comps comp50 52 3400 0.505428
final_comps_comp50_52 final_comps comp50 52 3500 0.498409
final_comps_comp50_52 final_comps comp50 52 3600 0.48829
final_comps_comp50_52 final_comps comp50 52 3700 0.484752
final_comps_comp50_52 final_comps comp50 52 3800 0.473246
final_comps_comp50_52 final_comps comp50 52 3900 0.482387
final_comps_comp50_52 final_comps comp50 52 4000 0.471907
final_comps_comp50_52 final_comps comp50 52 4100 0.467709
final_comps_comp50_52 final_comps comp50 52 4200 0.476134
final_comps_comp50_52 final_comps comp50 52 4300 0.466547
final_comps_comp50_52 final_comps comp50 52 4400 0.489207
final_comps_comp50_52 final_comps comp50 52 4500 0.485341
final_comps_comp50_52 final_comps comp50 52 4600 0.495266
final_comps_comp50_52 final_comps comp50 52 4700 0.47734
final_comps_comp50_52 final_comps comp50 52 4800 0.471328
final_comps_comp50_52 final_comps comp50 52 4900 0.470296
final_comps_comp50_52 final_comps comp50 52 5000 0.478017
final_comps_comp50_52 final_comps comp50 52 5100 0.479311
final_comps_comp50_52 final_comps comp50 52 5200 0.477027
final_comps_comp50_52 final_comps comp50 52 5300 0.477926
final_comps_comp50_52 final_comps comp50 52 5400 0.477048
final_comps_comp50_52 final_comps comp50 52 5500 0.471907
final_comps_comp50_52 final_comps comp50 52 5600 0.458708
final_comps_comp50_52 final_comps comp50 52 5700 0.472263
final_comps_comp50_52 final_comps comp50 52 5800 0.478248
final_comps_comp50_52 final_comps comp50 52 5900 0.48618
final_comps_comp50_52 final_comps comp50 52 6000 0.495701
final_comps_comp50_52 final_comps comp50 52 6100 0.501478
final_comps_comp50_52 final_comps comp50 52 6200 0.48563
final_comps_comp50_52 final_comps comp50 52 6300 0.496152
final_comps_comp50_52 final_comps comp50 52 6400 0.460146
final_comps_comp50_52 final_comps comp50 52 6500 0.446086
final_comps_comp50_52 final_comps comp50 52 6600 0.43423
final_comps_comp50_52 final_comps comp50 52 6700 0.447169
final_comps_comp50_52 final_comps comp50 52 6800 0.431977
final_comps_comp50_52 final_comps comp50 52 6900 0.422907
final_comps_comp50_52 final_comps comp50 52 7000 0.421312
final_comps_comp50_52 final_comps comp50 52 7100 0.411508
final_comps_comp50_52 final_comps comp50 52 7200 0.405269
final_comps_comp50_52 final_comps comp50 52 7300 0.413661
final_comps_comp50_52 final_comps comp50 52 7400 0.422429
final_comps_comp50_52 final_comps comp50 52 7500 0.414103
final_comps_comp50_52 final_comps comp50 52 7600 0.419695
final_comps_comp50_52 final_comps comp50 52 7700 0.43409
final_comps_comp50_52 final_comps comp50 52 7800 0.448007
final_comps_comp50_52 final_comps comp50 52 7900 0.446883
final_comps_comp50_52 final_comps comp50 52 8000 0.436183
final_comps_comp50_52 final_comps comp50 52 8100 0.456606
final_comps_comp50_52 final_comps comp50 52 8200 0.486281
final_comps_comp50_52 final_comps comp50 52 8300 0.488291
final_comps_comp50_52 final_comps comp50 52 8400 0.498239
final_comps_comp50_52 final_comps comp50 52 8500 0.514789
final_comps_comp50_52 final_comps comp50 52 8600 0.521936
final_comps_comp50_52 final_comps comp50 52 8700 0.513553
final_comps_comp50_52 final_comps comp50 52 8800 0.515461
final_comps_comp50_52 final_comps comp50 52 8900 0.51901
final_comps_comp50_52 final_comps comp50 52 9000 0.536535
final_comps_comp50_52 final_comps comp50 52 9100 0.560407
final_comps_comp50_52 final_comps comp50 52 9200 0.55391
final_comps_comp50_52 final_comps comp50 52 9300 0.551551
final_comps_comp50_52 final_comps comp50 52 9400 0.556537
final_comps_comp50_52 final_comps comp50 52 9500 0.549292
final_comps_comp50_52 final_comps comp50 52 9600 0.568794
final_comps_comp50_52 final_comps comp50 52 9700 0.571387
final_comps_comp50_52 final_comps comp50 52 9800 0.563107
final_comps_comp50_52 final_comps comp50 52 9900 0.560304
final_comps_comp50_52 final_comps comp50 52 10000 0.552265
final_comps_comp50_52 final_comps comp50 52 10100 0.543228
final_comps_comp50_52 final_comps comp50 52 10200 0.544658
final_comps_comp50_52 final_comps comp50 52 10300 0.555458
final_comps_comp50_52 final_comps comp50 52 10400 0.535463
final_comps_comp50_52 final_comps comp50 52 10500 0.545166
final_comps_comp50_52 final_comps comp50 52 10600 0.527466
final_comps_comp50_52 final_comps comp50 52 10700 0.529994
final_comps_comp50_52 final_comps comp50 52 10800 0.512245
final_comps_comp50_52 final_comps comp50 52 10900 0.525734
final_comps_comp50_52 final_comps comp50 52 11000 0.527819
final_comps_comp50_52 final_comps comp50 52 11100 0.529716
final_comps_comp50_52 final_comps comp50 52 11200 0.517476
final_comps_comp50_52 final_comps comp50 52 11300 0.515046
final_comps_comp50_52 final_comps comp50 52 11400 0.513267
final_comps_comp50_52 final_comps comp50 52 11500 0.514714
final_comps_comp50_52 final_comps comp50 52 11600 0.524219
final_comps_comp50_52 final_comps comp50 52 11700 0.513135
final_comps_comp50_52 final_comps comp50 52 11800 0.50967
final_comps_comp50_52 final_comps comp50 52 11900 0.522384
final_comps_comp50_52 final_comps comp50 52 12000 0.530227
final_comps_comp50_52 final_comps comp50 52 12100 0.493893
final_comps_comp50_52 final_comps comp50 52 12200 0.50386
final_comps_comp50_52 final_comps comp50 52 12300 0.514068
final_comps_comp50_52 final_comps comp50 52 12400 0.515616
final_comps_comp50_52 final_comps comp50 52 12500 0.529
final_comps_comp50_52 final_comps comp50 52 12600 0.53891
final_comps_comp50_52 final_comps comp50 52 12700 0.521639
final_comps_comp50_52 final_comps comp50 52 12800 0.523225
final_comps_comp50_52 final_comps comp50 52 12900 0.533453
final_comps_comp50_52 final_comps comp50 52 13000 0.525328
final_comps_comp50_52 final_comps comp50 52 13100 0.532922
final_comps_comp50_52 final_comps comp50 52 13200 0.535351
final_comps_comp50_52 final_comps comp50 52 13300 0.549759
final_comps_comp50_52 final_comps comp50 52 13400 0.548349
final_comps_comp50_52 final_comps comp50 52 13500 0.58299
final_comps_comp50_52 final_comps comp50 52 13600 0.590358
final_comps_comp50_52 final_comps comp50 52 13700 0.589281
final_comps_comp50_52 final_comps comp50 52 13800 0.584814
final_comps_comp50_52 final_comps comp50 52 13900 0.578811
final_comps_comp50_52 final_comps comp50 52 14000 0.567226
final_comps_comp50_52 final_comps comp50 52 14100 0.575474
final_comps_comp50_52 final_comps comp50 52 14200 0.580617
final_comps_comp50_52 final_comps comp50 52 14300 0.584098
final_comps_comp50_52 final_comps comp50 52 14400 0.575414
final_comps_comp50_52 final_comps comp50 52 14500 0.593043
final_comps_comp50_52 final_comps comp50 52 14600 0.602035
final_comps_comp50_52 final_comps comp50 52 14700 0.596081
final_comps_comp50_52 final_comps comp50 52 14800 0.595558
final_comps_comp50_52 final_comps comp50 52 14900 0.595646
final_comps_comp50_52 final_comps comp50 52 15000 0.594666
final_comps_comp50_52 final_comps comp50 52 15100 0.580193
final_comps_comp50_52 final_comps comp50 52 15200 0.588459
final_comps_comp50_52 final_comps comp50 52 15300 0.593676
final_comps_comp50_52 final_comps comp50 52 15400 0.587925
final_comps_comp50_52 final_comps comp50 52 15500 0.590618
final_comps_comp50_52 final_comps comp50 52 15600 0.585956
final_comps_comp50_52 final_comps comp50 52 15700 0.575793
final_comps_comp50_52 final_comps comp50 52 15800 0.57744
final_comps_comp50_52 final_comps comp50 52 15900 0.565858
final_comps_comp50_52 final_comps comp50 52 16000 0.572578
final_comps_comp50_52 final_comps comp50 52 16100 0.56232
final_comps_comp50_52 final_comps comp50 52 16200 0.575995
final_comps_comp50_52 final_comps comp50 52 16300 0.574493
final_comps_comp50_52 final_comps comp50 52 16400 0.569753
final_comps_comp50_52 final_comps comp50 52 16500 0.574906
final_comps_comp50_52 final_comps comp50 52 16600 0.568114
final_comps_comp50_52 final_comps comp50 52 16700 0.56281
