uid expr treatment rep update popsize
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 16200 3410
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 16300 3507
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 16400 3469
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 16500 3422
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 16600 3448
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 16700 3463
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 16800 3424
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 16900 3401
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 17000 3438
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 17100 3386
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 17200 3478
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 17300 3492
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 17400 3396
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 17500 3472
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 17600 3444
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 17700 3443
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 17800 3481
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 17900 3478
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 18000 3378
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 18100 3455
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 18200 3434
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 18300 3398
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 18400 3429
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 18500 3455
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 18600 3483
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 18700 3472
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 18800 3394
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 18900 3438
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 19000 3460
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 19100 3452
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 19200 3536
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 19300 3457
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 19400 3488
