uid expr treatment rep update smart-explode quorum-sense nop-y
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3000 6102 818 365
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3100 6974 204 174
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3200 6355 98 61
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3300 6262 89 101
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3400 6363 259 134
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3500 6215 186 123
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3600 6393 78 420
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3700 6343 175 130
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3800 6481 227 402
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3900 6335 321 113
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4000 6553 261 98
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4100 6514 173 128
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4200 6579 79 130
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4300 6388 112 92
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4400 6405 311 107
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4500 6493 132 112
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4600 6413 164 131
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 4700 6643 214 169
