uid expr treatment rep update pop_size
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 27400 3415
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 27500 3468
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 27600 3445
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 27700 3383
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 27800 3491
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 27900 3391
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 28000 3406
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 28100 3437
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 28200 3441
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 28300 3474
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 28400 3425
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 28500 3422
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 28600 3444
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 28700 3425
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 28800 3412
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 28900 3412
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 29000 3354
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 29100 3393
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 29200 3379
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 29300 3459
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 29400 3415
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 29500 3405
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 29600 3381
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 29700 3439
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 29800 3431
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 29900 3414
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 30000 3476
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 0 1
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 100 62
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 200 437
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 300 1135
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 400 2166
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 500 3247
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 600 3374
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 700 3276
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 800 3098
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 900 2866
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 1000 2962
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 1100 3044
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 1200 2836
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 1300 2979
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 1400 2933
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 1500 2900
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 1600 2935
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 1700 2875
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 1800 2994
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 1900 2995
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 2000 3090
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 2100 3034
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 2200 3057
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 2300 3087
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 2400 3075
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 2500 3054
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 2600 3093
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 2700 3129
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 2800 3137
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 2900 3142
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3000 3095
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3100 3106
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3200 3154
reg_test_evolve_nopy_52 reg_test evolve_nopy 52 3300 3153
