uid expr treatment rep update popsize
reg_test_noqs_reg_51 reg_test noqs_reg 51 21900 3340
reg_test_noqs_reg_51 reg_test noqs_reg 51 22000 3286
reg_test_noqs_reg_51 reg_test noqs_reg 51 22100 3386
reg_test_noqs_reg_51 reg_test noqs_reg 51 22200 3386
reg_test_noqs_reg_51 reg_test noqs_reg 51 22300 3343
reg_test_noqs_reg_51 reg_test noqs_reg 51 22400 3413
reg_test_noqs_reg_51 reg_test noqs_reg 51 22500 3399
reg_test_noqs_reg_51 reg_test noqs_reg 51 22600 3371
reg_test_noqs_reg_51 reg_test noqs_reg 51 22700 3416
reg_test_noqs_reg_51 reg_test noqs_reg 51 22800 3430
reg_test_noqs_reg_51 reg_test noqs_reg 51 22900 3298
reg_test_noqs_reg_51 reg_test noqs_reg 51 23000 3327
reg_test_noqs_reg_51 reg_test noqs_reg 51 23100 3371
reg_test_noqs_reg_51 reg_test noqs_reg 51 23200 3317
reg_test_noqs_reg_51 reg_test noqs_reg 51 23300 3373
reg_test_noqs_reg_51 reg_test noqs_reg 51 23400 3359
reg_test_noqs_reg_51 reg_test noqs_reg 51 23500 3415
reg_test_noqs_reg_51 reg_test noqs_reg 51 23600 3336
reg_test_noqs_reg_51 reg_test noqs_reg 51 23700 3377
reg_test_noqs_reg_51 reg_test noqs_reg 51 23800 3348
reg_test_noqs_reg_51 reg_test noqs_reg 51 23900 3382
reg_test_noqs_reg_51 reg_test noqs_reg 51 24000 3415
reg_test_noqs_reg_51 reg_test noqs_reg 51 24100 3386
reg_test_noqs_reg_51 reg_test noqs_reg 51 24200 3370
reg_test_noqs_reg_51 reg_test noqs_reg 51 24300 3397
reg_test_noqs_reg_51 reg_test noqs_reg 51 24400 3420
reg_test_noqs_reg_51 reg_test noqs_reg 51 24500 3321
reg_test_noqs_reg_51 reg_test noqs_reg 51 24600 3373
reg_test_noqs_reg_51 reg_test noqs_reg 51 24700 3403
reg_test_noqs_reg_51 reg_test noqs_reg 51 24800 3416
reg_test_noqs_reg_51 reg_test noqs_reg 51 24900 3362
reg_test_noqs_reg_51 reg_test noqs_reg 51 25000 3354
reg_test_noqs_reg_51 reg_test noqs_reg 51 25100 3378
reg_test_noqs_reg_51 reg_test noqs_reg 51 25200 3366
reg_test_noqs_reg_51 reg_test noqs_reg 51 25300 3432
reg_test_noqs_reg_51 reg_test noqs_reg 51 25400 3359
reg_test_noqs_reg_51 reg_test noqs_reg 51 25500 3429
reg_test_noqs_reg_51 reg_test noqs_reg 51 25600 3361
reg_test_noqs_reg_51 reg_test noqs_reg 51 25700 3393
reg_test_noqs_reg_51 reg_test noqs_reg 51 25800 3343
reg_test_noqs_reg_51 reg_test noqs_reg 51 25900 3358
reg_test_noqs_reg_51 reg_test noqs_reg 51 26000 3388
reg_test_noqs_reg_51 reg_test noqs_reg 51 26100 3364
reg_test_noqs_reg_51 reg_test noqs_reg 51 26200 3357
reg_test_noqs_reg_51 reg_test noqs_reg 51 26300 3320
reg_test_noqs_reg_51 reg_test noqs_reg 51 26400 3344
reg_test_noqs_reg_51 reg_test noqs_reg 51 26500 3386
reg_test_noqs_reg_51 reg_test noqs_reg 51 26600 3356
reg_test_noqs_reg_51 reg_test noqs_reg 51 26700 3364
reg_test_noqs_reg_51 reg_test noqs_reg 51 26800 3385
reg_test_noqs_reg_51 reg_test noqs_reg 51 26900 3317
reg_test_noqs_reg_51 reg_test noqs_reg 51 27000 3353
reg_test_noqs_reg_51 reg_test noqs_reg 51 27100 3315
reg_test_noqs_reg_51 reg_test noqs_reg 51 27200 3339
reg_test_noqs_reg_51 reg_test noqs_reg 51 27300 3278
reg_test_noqs_reg_51 reg_test noqs_reg 51 27400 3365
reg_test_noqs_reg_51 reg_test noqs_reg 51 27500 3369
reg_test_noqs_reg_51 reg_test noqs_reg 51 27600 3414
reg_test_noqs_reg_51 reg_test noqs_reg 51 27700 3406
reg_test_noqs_reg_51 reg_test noqs_reg 51 27800 3322
reg_test_noqs_reg_51 reg_test noqs_reg 51 27900 3385
reg_test_noqs_reg_51 reg_test noqs_reg 51 28000 3304
reg_test_noqs_reg_51 reg_test noqs_reg 51 28100 3355
reg_test_noqs_reg_51 reg_test noqs_reg 51 28200 3421
reg_test_noqs_reg_51 reg_test noqs_reg 51 28300 3393
reg_test_noqs_reg_51 reg_test noqs_reg 51 28400 3420
reg_test_noqs_reg_51 reg_test noqs_reg 51 28500 3347
reg_test_noqs_reg_51 reg_test noqs_reg 51 28600 3394
reg_test_noqs_reg_51 reg_test noqs_reg 51 28700 3420
reg_test_noqs_reg_51 reg_test noqs_reg 51 28800 3414
reg_test_noqs_reg_51 reg_test noqs_reg 51 28900 3397
reg_test_noqs_reg_51 reg_test noqs_reg 51 29000 3452
reg_test_noqs_reg_51 reg_test noqs_reg 51 29100 3375
reg_test_noqs_reg_51 reg_test noqs_reg 51 29200 3331
reg_test_noqs_reg_51 reg_test noqs_reg 51 29300 3364
reg_test_noqs_reg_51 reg_test noqs_reg 51 29400 3376
reg_test_noqs_reg_51 reg_test noqs_reg 51 29500 3371
reg_test_noqs_reg_51 reg_test noqs_reg 51 29600 3374
reg_test_noqs_reg_51 reg_test noqs_reg 51 29700 3394
reg_test_noqs_reg_51 reg_test noqs_reg 51 29800 3350
reg_test_noqs_reg_51 reg_test noqs_reg 51 29900 3328
reg_test_noqs_reg_51 reg_test noqs_reg 51 30000 3356
reg_test_noqs_reg_52 reg_test noqs_reg 52 0 1
reg_test_noqs_reg_52 reg_test noqs_reg 52 100 63
reg_test_noqs_reg_52 reg_test noqs_reg 52 200 416
reg_test_noqs_reg_52 reg_test noqs_reg 52 300 1099
reg_test_noqs_reg_52 reg_test noqs_reg 52 400 2053
reg_test_noqs_reg_52 reg_test noqs_reg 52 500 3108
reg_test_noqs_reg_52 reg_test noqs_reg 52 600 3251
reg_test_noqs_reg_52 reg_test noqs_reg 52 700 3183
reg_test_noqs_reg_52 reg_test noqs_reg 52 800 2925
reg_test_noqs_reg_52 reg_test noqs_reg 52 900 2917
reg_test_noqs_reg_52 reg_test noqs_reg 52 1000 2975
reg_test_noqs_reg_52 reg_test noqs_reg 52 1100 2778
reg_test_noqs_reg_52 reg_test noqs_reg 52 1200 2975
reg_test_noqs_reg_52 reg_test noqs_reg 52 1300 2845
reg_test_noqs_reg_52 reg_test noqs_reg 52 1400 2911
reg_test_noqs_reg_52 reg_test noqs_reg 52 1500 3024
reg_test_noqs_reg_52 reg_test noqs_reg 52 1600 2994
reg_test_noqs_reg_52 reg_test noqs_reg 52 1700 3019
reg_test_noqs_reg_52 reg_test noqs_reg 52 1800 2983
