uid expr treatment rep update lineage_perc
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 17800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 17900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 18000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 18100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 18200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 18300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 18400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 18500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 18600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 18700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 18800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 18900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 19000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 19100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 19200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 19300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 19400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 19500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 19600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 19700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 19800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 19900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 20000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 20100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 20200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 20300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 20400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 20500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 20600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 20700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 20800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 20900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 21000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 21100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 21200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 21300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 21400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 21500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 21600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 21700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 21800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 21900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 22000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 22100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 22200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 22300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 22400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 22500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 22600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 22700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 22800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 22900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 23000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 23100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 23200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 23300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 23400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 23500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 23600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 23700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 23800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 23900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 24000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 24100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 24200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 24300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 24400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 24500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 24600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 24700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 24800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 24900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 25000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 25100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 25200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 25300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 25400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 25500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 25600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 25700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 25800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 25900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 26000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 26100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 26200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 26300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 26400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 26500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 26600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 26700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 26800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 26900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 27000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 27100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 27200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 27300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 27400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 27500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 27600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 27700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 27800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 27900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 28000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 28100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 28200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 28300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 28400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 28500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 28600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 28700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 28800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 28900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 29000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 29100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 29200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 29300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 29400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 29500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 29600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 29700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 29800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 29900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 30000 1
reg_test_noisy_1_compnoqs_52 reg_test noisy_1_compnoqs 52 0 0.506624
reg_test_noisy_1_compnoqs_52 reg_test noisy_1_compnoqs 52 100 0.510777
reg_test_noisy_1_compnoqs_52 reg_test noisy_1_compnoqs 52 200 0.507038
reg_test_noisy_1_compnoqs_52 reg_test noisy_1_compnoqs 52 300 0.512917
reg_test_noisy_1_compnoqs_52 reg_test noisy_1_compnoqs 52 400 0.525226
reg_test_noisy_1_compnoqs_52 reg_test noisy_1_compnoqs 52 500 0.517111
reg_test_noisy_1_compnoqs_52 reg_test noisy_1_compnoqs 52 600 0.524429
reg_test_noisy_1_compnoqs_52 reg_test noisy_1_compnoqs 52 700 0.549118
